################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment approval voting.
# Format: CSV with header
#
# Participants were asked to tick the candidates they approve. Meaning of the scores:
# 0 = not approved / 1 = approved
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 22310,0,0,0,0,0,0,0,0,0,1,1,abstention
Voter 29739,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 9816,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 25180,1,0,0,0,0,1,0,0,0,0,1,Benoît Hamon
Voter 11103,0,0,0,0,0,1,0,0,1,1,1,Benoît Hamon
Voter 28484,0,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 15445,0,0,0,0,0,1,0,0,1,0,0,non inscrit
Voter 10036,0,0,0,0,1,1,0,0,1,1,0,incertitude
Voter 9160,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 9424,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 32847,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 28431,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 3089,1,0,0,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 27684,1,0,0,0,0,0,0,0,0,1,1,Philippe Poutou
Voter 11545,0,0,0,0,1,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 28686,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 24272,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 25826,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 21746,0,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 1503,0,0,0,0,0,1,0,0,1,0,1,Benoît Hamon
Voter 1674,0,0,0,0,0,1,0,0,0,0,0,Emmanuel Macron
Voter 8962,1,1,0,1,0,0,0,0,1,1,1,Jean-Luc Mélenchon
Voter 12923,1,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 26829,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 24026,0,0,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 28330,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 21857,0,0,0,0,0,0,0,0,1,1,0,Emmanuel Macron
Voter 20554,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 7836,1,0,1,0,0,1,1,0,0,1,1,Jean-Luc Mélenchon
Voter 24147,0,0,0,1,0,1,0,0,1,0,0,Emmanuel Macron
Voter 6277,0,0,0,0,0,0,1,0,1,1,0,Jean Lassalle
Voter 10778,1,0,0,0,1,1,0,0,1,1,0,Emmanuel Macron
Voter 30263,0,0,0,0,0,0,0,0,1,0,0,Emmanuel Macron
Voter 29993,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18544,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 23654,0,0,0,0,0,1,1,0,1,0,1,Emmanuel Macron
Voter 420,0,0,0,0,0,1,0,0,0,1,0,incertitude
Voter 34005,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 32022,1,0,1,0,0,0,0,0,0,1,1,Jean-Luc Mélenchon
Voter 13158,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 26787,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 26381,0,1,0,0,0,0,0,0,0,1,0,Jean-Luc Mélenchon
Voter 8561,0,0,0,0,0,0,0,0,0,0,0,abstention
Voter 30891,1,1,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 3153,0,0,0,0,0,1,0,0,1,1,0,Benoît Hamon
Voter 20903,0,0,0,0,0,0,0,0,1,0,0,blanc
Voter 17193,0,0,0,1,1,0,1,1,0,0,0,François Fillon
Voter 368,0,0,0,0,0,0,0,0,1,1,0,Jean-Luc Mélenchon
Voter 17591,0,0,0,0,1,0,0,0,1,0,0,François Fillon
Voter 4477,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 18407,0,0,0,0,0,1,1,0,0,1,1,Benoît Hamon
Voter 4794,0,0,0,0,0,0,0,0,1,1,0,Jean-Luc Mélenchon
Voter 488,0,0,0,0,0,1,0,0,0,1,0,Benoît Hamon
Voter 2612,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 29359,0,0,0,0,1,0,1,1,1,0,0,blanc
Voter 8604,0,0,0,0,0,1,0,0,1,1,1,Benoît Hamon
Voter 21732,1,0,0,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 26515,0,0,0,0,0,1,0,0,1,0,0,Emmanuel Macron
Voter 21279,1,1,1,0,0,1,0,0,0,1,1,Jean-Luc Mélenchon
Voter 9416,1,0,0,0,0,1,0,0,0,1,1,abstention
Voter 17576,0,0,0,0,1,0,0,0,0,0,0,François Fillon
Voter 17303,0,0,0,0,0,1,0,0,0,0,0,Benoît Hamon
Voter 6438,0,0,0,0,0,1,0,0,0,1,0,Jean-Luc Mélenchon
Voter 8125,0,0,0,1,1,0,1,0,0,0,0,incertitude
Voter 7,0,0,0,0,0,1,0,0,0,0,1,Benoît Hamon
Voter 4617,0,0,0,0,0,1,1,0,1,1,0,Benoît Hamon
Voter 9003,0,0,0,0,0,1,0,0,0,1,1,Benoît Hamon
Voter 5339,0,0,0,0,1,1,0,0,1,1,0,blanc
