################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting -1/0/1/2.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (-1,0,1,2).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 20652,1,-1,-1,-1,-1,1,-1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 7763,2,-1,-1,2,-1,2,-1,-1,1,1,2,Benoît Hamon
Voter 36434,1,0,0,0,0,2,0,-1,1,1,0,Benoît Hamon
Voter 5555,1,0,0,-1,-1,0,0,-1,-1,1,0,incertitude
Voter 34171,0,-1,-1,-1,-1,2,0,-1,2,1,0,Emmanuel Macron
Voter 8282,0,-1,-1,-1,-1,2,0,-1,0,2,1,Jean-Luc Mélenchon
Voter 16759,-1,-1,-1,-1,-1,1,-1,-1,2,-1,1,Emmanuel Macron
Voter 13994,0,0,0,1,-1,1,0,-1,2,1,0,Emmanuel Macron
Voter 2164,1,,,,,0,,,,1,1,Jean-Luc Mélenchon
Voter 29615,1,-1,-1,-1,-1,0,-1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 8365,-1,-1,-1,0,2,-1,-1,1,-1,-1,-1,François Fillon
Voter 89,-1,-1,-1,-1,0,1,-1,-1,2,0,-1,Emmanuel Macron
Voter 25892,,0,0,0,,0,0,,1,1,1,Philippe Poutou
Voter 3625,-1,-1,-1,-1,-1,1,-1,-1,0,-1,1,Philippe Poutou
Voter 15908,1,0,-1,1,-1,-1,1,-1,-1,2,1,
Voter 15268,1,-1,1,-1,-1,2,1,-1,-1,2,1,Benoît Hamon
Voter 27762,0,2,0,0,-1,-1,0,-1,-1,0,1,François Asselineau
Voter 16577,-1,-1,-1,-1,0,0,1,-1,2,-1,-1,Emmanuel Macron
Voter 22700,0,,,,-1,2,,-1,2,2,2,Emmanuel Macron
Voter 13654,-1,-1,1,0,-1,1,0,-1,0,1,-1,incertitude
Voter 2587,1,0,1,0,-1,0,1,1,1,2,1,Marine Le Pen
Voter 23588,0,0,0,1,-1,2,0,-1,0,2,0,incertitude
Voter 23464,-1,0,-1,0,-1,0,-1,-1,0,-1,-1,abstention
Voter 2455,,,,-1,-1,2,,-1,0,1,,Benoît Hamon
Voter 15307,1,-1,-1,-1,-1,1,0,-1,0,1,1,Benoît Hamon
Voter 20963,1,0,1,0,-1,2,1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 14993,0,0,0,-1,-1,2,0,-1,2,1,1,Benoît Hamon
Voter 8245,0,,,1,-1,2,0,-1,-1,1,1,Benoît Hamon
Voter 26637,0,,,,,0,,,,2,1,Jean-Luc Mélenchon
Voter 14514,0,-1,-1,-1,-1,1,-1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 29690,2,,,,,0,,,,0,2,Philippe Poutou
Voter 8299,1,-1,-1,-1,-1,1,0,-1,-1,2,2,Philippe Poutou
Voter 12026,1,0,,,,,1,,,2,2,Jean-Luc Mélenchon
Voter 3176,0,,,,,,,,,0,0,Philippe Poutou
Voter 1736,0,0,0,0,0,1,1,0,0,2,0,Jean-Luc Mélenchon
Voter 30588,1,-1,1,-1,-1,1,-1,-1,-1,2,1,Jean-Luc Mélenchon
Voter 35387,0,1,0,1,-1,0,0,2,-1,1,-1,non inscrit
Voter 30123,-1,-1,-1,-1,-1,2,,-1,0,2,0,Benoît Hamon
Voter 755,0,,,0,,2,,,,2,0,Jean-Luc Mélenchon
Voter 3261,0,0,,,,2,,,,2,0,incertitude
Voter 7422,0,-1,0,-1,-1,2,-1,-1,0,-1,0,Benoît Hamon
Voter 17429,1,-1,-1,-1,0,2,-1,-1,0,1,1,Benoît Hamon
Voter 210,-1,-1,-1,-1,0,-1,0,-1,2,-1,-1,Emmanuel Macron
Voter 37463,-1,-1,0,0,-1,0,-1,-1,2,2,0,
Voter 19852,1,0,0,0,2,1,0,-1,2,1,0,François Fillon
Voter 15893,1,0,0,-1,-1,0,0,-1,-1,1,1,Jean-Luc Mélenchon
