################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Post first-round Questionnaire
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants after the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what did you do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: did you vote sincerely? (t = yes / f = no)
# * Column 15: did you vote strategically? (t = yes / f = no)
# * Column 16: did you have another motivation? (free text)
# * Column 17: now that you know the results of the first round, do you think you did the right choice?
#   (-2 = not at all / -1 = rather not / 1 = rather yes / 2 = absolutely)
# * Column 18: if you could revote, what would you do? (vote for candidate X / blanc = blank /
#   abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 19: if you are noty satisfied, is it because you should have voted sincerely? (t = yes / f = no)
# * Column 20: if you are noty satisfied, is it because you should have voted strategically? (t = yes / f = no)
# * Column 21: if you are noty satisfied, is it for another reason? (free text)
# * Column 22: What do you plan to do for the second round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 23: vote is a right (t = yes / f = no)
# * Column 24: vote is a duty (t = yes / f = no)
# * Column 25: vote is a chance (t = yes / f = no)
# * Column 26: vote is useful (t = yes / f = no)
# * Column 27: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 28: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 29: gender (h = male / f = female)
# * Column 30: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 31: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
"Voter","Appreciation Approval","Appreciation Evaluation 0/1/2","Appreciation Evaluation 0/1/2/3","Appreciation Evaluation -1/0/1/2","Appreciation Evaluation -1/0/1","Appreciation Borda 4","Appreciation STV 4-11","Appreciation STV 1-11","Appreciation Evaluation Continuous","Appreciation Condorcet","Appreciation two round majority","official vote","I voted sincerely","I voted strategically","Other motivation","Regret evaluation","I should have voted...","I should have voted sincerely","I should have voted strategically","I should have voted otherwise","second round","vote is a right","vote is a duty","vote is a chance","vote is useful","left right","age","gender","studies","socioprofessional"
"Voter 34302","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","-2","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","t","","","","2","50-59","h","superieur","public"
"Voter 34303","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","prive"
"Voter 34304","(NP)","1","(NP)","(NP)","1","(NP)","0","(NP)","","","-1","ne se prononce pas","f","t","","-1","Benoît Hamon","f","f","Jaurais voulu un second tour sans FN","Emmanuel Macron","t","t","t","t","5","30-39","h","superieur","prive"
"Voter 34305","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Benoît Hamon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","18-29","f","superieur","etudiant"
"Voter 34306","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","J'ai hésité, j'hésite toujours, entre ce candidat et l'absentention.","abstention","","","","","","18-29","h","superieur","autre"
"Voter 34307","(NP)","(NP)","0","0","(NP)","(NP)","(NP)","1","","","-1","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","t","f","t","4","18-29","f","superieur","autre"
"Voter 34308","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","f","","","","f","f","","Emmanuel Macron","","","","","","+70","f","secondaire","retraite"
"Voter 34309","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","blanc","","","","","","30-39","h","superieur","chomage"
"Voter 34310","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","ne se prononce pas","","","","","","40-49","f","superieur","prive"
"Voter 34311","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Benoît Hamon","t","f","","-1","Benoît Hamon","f","t","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 34312","(NP)","(NP)","0","1","(NP)","(NP)","1","(NP)","","","0","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","t","t","t","t","0","18-29","h","superieur","prive"
"Voter 34313","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Benoît Hamon","t","f","","-1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 34314","1","(NP)","(NP)","(NP)","0","(NP)","1","(NP)","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","18-29","f","superieur","chomage"
"Voter 34315","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Nicolas Dupont-Aignan","t","f","","-1","François Fillon","f","t","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 34316","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","abstention","f","f","","1","abstention","f","f","","abstention","","","","","","18-29","h","superieur","etudiant"
"Voter 34317","-1","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","","","-1","Benoît Hamon","t","f","","2","Jean-Luc Mélenchon","f","t","","abstention","","","t","t","2","18-29","f","superieur","etudiant"
"Voter 34318","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","50-59","f","superieur","public"
"Voter 34319","1","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","abstention","t","f","t","","2","18-29","h","superieur","autre"
"Voter 34320","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","abstention","f","f","","1","abstention","f","f","","abstention","","","","","","18-29","h","superieur","etudiant"
"Voter 34321","2","(NP)","2","(NP)","(NP)","(NP)","1","(NP)","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","4","30-39","h","superieur","prive"
"Voter 34322","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","liberal"
"Voter 34323","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 34324","0","(NP)","(NP)","(NP)","0","(NP)","(NP)","0","","","1","Jean-Luc Mélenchon","t","f","","-2","ne se prononce pas","f","f","J'ai voté le moins pire des pires","blanc","t","","","","3","+70","f","superieur","retraite"
"Voter 34325","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","superieur","etudiant"
"Voter 34326","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","f","f","C'était le seul restant après élimination des autres candidats un à un.","1","Emmanuel Macron","f","f","Il n'y avait pas de candidat satisfaisant.","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 34327","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","public"
"Voter 34328","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 34329","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","","","","","","50-59","h","secondaire","public"
"Voter 34330","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","18-29","f","secondaire","chomage"
"Voter 34331","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","f","","2","","f","f","","Emmanuel Macron","","","","","","","","",""
"Voter 34332","1","(NP)","(NP)","(NP)","-1","(NP)","(NP)","2","","","0","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","3","30-39","h","superieur","prive"
"Voter 34333","-1","(NP)","2","(NP)","(NP)","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","t","4","18-29","h","superieur","liberal"
"Voter 34334","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Emmanuel Macron","f","t","","1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","etudiant"
"Voter 34335","","(NP)","","(NP)","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","liberal"
"Voter 34336","(NP)","1","(NP)","(NP)","1","0","(NP)","(NP)","","","-2","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","t","t","t","5","30-39","f","superieur","public"
"Voter 34337","0","(NP)","(NP)","1","(NP)","(NP)","1","(NP)","","","-1","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","Emmanuel Macron","t","t","t","f","3","50-59","h","secondaire","public"
"Voter 34338","(NP)","(NP)","2","2","(NP)","(NP)","(NP)","2","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","18-29","h","superieur","prive"
"Voter 34339","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","blanc","","","","","","30-39","f","superieur","liberal"
"Voter 34340","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","ne se prononce pas","","","","","","30-39","h","superieur","prive"
"Voter 34341","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","30-39","h","superieur","prive"
"Voter 34342","-1","(NP)","(NP)","1","(NP)","1","(NP)","(NP)","","","1","Emmanuel Macron","f","t","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","7","30-39","f","superieur","public"
"Voter 34343","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","ne se prononce pas","","","","","","50-59","f","superieur","public"
"Voter 34344","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","abstention","f","f","","","ne se prononce pas","f","f","","ne se prononce pas","","","","","","50-59","h","secondaire","liberal"
"Voter 34345","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","autre"
"Voter 34346","1","(NP)","1","(NP)","(NP)","(NP)","1","(NP)","","","-2","Benoît Hamon","t","f","","-1","Jean-Luc Mélenchon","f","t","","blanc","t","f","t","t","2","30-39","f","superieur","liberal"
"Voter 34347","(NP)","1","(NP)","(NP)","1","1","(NP)","(NP)","","","-2","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","4","18-29","h","superieur","prive"
"Voter 34348","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 34349","(NP)","(NP)","2","1","(NP)","(NP)","(NP)","-1","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","f","t","t","5","18-29","h","superieur","etudiant"
"Voter 34350","(NP)","(NP)","-1","1","(NP)","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","1","18-29","f","superieur","etudiant"
"Voter 34351","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","pas de chance","ne se prononce pas","t","","","","1","50-59","h","secondaire","autre"
"Voter 34352","(NP)","(NP)","-1","1","(NP)","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","40-49","f","superieur","prive"
"Voter 34353","(NP)","(NP)","0","1","(NP)","1","(NP)","(NP)","","","-1","Nicolas Dupont-Aignan","t","f","","1","Nicolas Dupont-Aignan","f","f","J'aurais pu voter blanc.","blanc","t","t","t","t","6","30-39","h","superieur","prive"
"Voter 34354","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","abstention","f","f","","1","abstention","f","f","","abstention","","","","","","18-29","h","superieur","prive"
"Voter 34355","1","(NP)","(NP)","(NP)","1","(NP)","-2","(NP)","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","blanc","t","t","t","t","2","30-39","h","superieur","prive"
"Voter 34356","(NP)","(NP)","2","2","(NP)","(NP)","2","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","t","t","t","t","1","18-29","f","superieur","prive"
"Voter 34357","(NP)","(NP)","1","1","(NP)","(NP)","1","(NP)","","","-2","Jean-Luc Mélenchon","t","t","Lui ou Benoit Hamon","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","f","t","t","","30-39","f","superieur","public"
"Voter 34358","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","abstention","","","","","","30-39","f","superieur","prive"
"Voter 34359","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","François Fillon","f","f","","2","François Fillon","f","f","","Marine Le Pen","","","","","","40-49","h","superieur","public"
"Voter 34360","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","François Fillon","t","f","","2","François Fillon","f","f","","blanc","","","","","","40-49","h","superieur","prive"
"Voter 34361","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","prive"
"Voter 34362","1","(NP)","1","(NP)","(NP)","-1","(NP)","(NP)","","","-1","Benoît Hamon","t","f","","2","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","3","18-29","f","superieur","public"
"Voter 34363","","(NP)","(NP)","(NP)","","(NP)","(NP)","","","","","blanc","f","f","Aucun candidat ne proposait un programme qui me correspondait","1","blanc","f","f","que voter blanc ne sert au final à rien. Mais je ne pouvais donner ma voix à personne","Emmanuel Macron","","","","","","30-39","f","superieur","prive"
"Voter 34364","(NP)","(NP)","1","1","(NP)","(NP)","(NP)","0","","","-1","François Fillon","f","t","","2","François Fillon","f","f","","Marine Le Pen","","t","","","10","40-49","h","superieur","public"
"Voter 34365","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","30-39","h","superieur","public"
"Voter 34366","(NP)","0","(NP)","(NP)","1","(NP)","2","(NP)","","","1","François Fillon","t","f","","2","François Fillon","f","f","","blanc","t","t","t","t","7","40-49","h","superieur","prive"
"Voter 34367","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","blanc","f","f","j'aurais dû voter blanc car aucun candidat ne me représentait réellement","Emmanuel Macron","","","","","","40-49","f","superieur","public"
"Voter 34368","","(NP)","(NP)","(NP)","","","(NP)","(NP)","","","","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","","","","","","40-49","h","superieur","public"
"Voter 34369","0","(NP)","(NP)","-2","(NP)","(NP)","0","(NP)","","","-1","Jean-Luc Mélenchon","f","t","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","t","2","30-39","f","superieur","prive"
"Voter 34370","0","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","-2","blanc","f","f","","1","blanc","f","f","","Emmanuel Macron","t","t","t","f","4","30-39","f","superieur","prive"
"Voter 34371","","(NP)","","(NP)","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","superieur","liberal"
"Voter 34372","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","30-39","h","superieur","public"
"Voter 34373","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","30-39","f","secondaire","public"
"Voter 34374","(NP)","(NP)","1","1","(NP)","(NP)","1","(NP)","","","-1","Emmanuel Macron","f","t","","1","Emmanuel Macron","t","f","","Emmanuel Macron","t","t","t","t","4","40-49","h","superieur","public"
"Voter 34375","-1","(NP)","(NP)","(NP)","0","(NP)","(NP)","1","","","1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","4","18-29","h","superieur","etudiant"
"Voter 34376","(NP)","1","(NP)","(NP)","1","(NP)","1","(NP)","","","-1","Jean-Luc Mélenchon","t","f","","-1","blanc","f","f","j'aurais dû voter blanc car aucun candidat ne me convenait réellement","Emmanuel Macron","t","t","","","2","40-49","f","superieur","public"
"Voter 34377","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 34378","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Philippe Poutou","t","f","","-1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","f","superieur","public"
"Voter 34379","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","liberal"
"Voter 34380","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 34381","","(NP)","(NP)","","(NP)","","(NP)","(NP)","","","-2","Emmanuel Macron","f","t","","-1","Jean-Luc Mélenchon","t","f","","Emmanuel Macron","t","f","t","t","0","40-49","h","superieur","public"
"Voter 34382","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","t","","1","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","superieur","etudiant"
"Voter 34383","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","François Fillon","f","f","Aucun candidat qui donne envie... j'ai voté pour un programme par une personne...","2","François Fillon","f","f","","blanc","","","","","","30-39","h","superieur","liberal"
"Voter 34384","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Nicolas Dupont-Aignan","t","f","","1","Nicolas Dupont-Aignan","f","f","","Marine Le Pen","","","","","","18-29","h","superieur","public"
"Voter 34385","(NP)","1","(NP)","(NP)","1","(NP)","2","(NP)","","","-2","Jean-Luc Mélenchon","t","t","","1","Jean-Luc Mélenchon","f","f","","blanc","t","f","f","t","1","18-29","h","superieur","etudiant"
"Voter 34386","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","","f","f","","","","f","f","","blanc","","","","","","50-59","f","superieur","public"
"Voter 34387","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","f","f","Malgré mes réticences sur la personne, les idées défendues me correspondaient mieux","1","Jean-Luc Mélenchon","f","f","Mes réticences ont trouvé confirmation","blanc","","","","","","50-59","f","superieur","public"
"Voter 34388","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","50-59","h","superieur","public"
"Voter 34389","(NP)","","(NP)","(NP)","","2","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","abstention","t","f","t","f","3","18-29","h","superieur","prive"
"Voter 34390","","(NP)","(NP)","","(NP)","(NP)","(NP)","","","","","François Fillon","t","f","","2","François Fillon","f","f","","blanc","","","","","","30-39","h","superieur","liberal"
"Voter 34391","(NP)","(NP)","","","(NP)","(NP)","(NP)","","","","","Emmanuel Macron","f","t","","-1","Benoît Hamon","t","f","","Emmanuel Macron","","","","","","18-29","f","superieur","prive"
"Voter 34392","","(NP)","(NP)","","(NP)","(NP)","","(NP)","","","","Marine Le Pen","t","f","","2","Marine Le Pen","f","f","","Marine Le Pen","","","","","","18-29","h","secondaire","prive"
"Voter 34393","-1","(NP)","(NP)","1","(NP)","(NP)","(NP)","-1","","","-1","Philippe Poutou","t","f","","2","Philippe Poutou","f","f","","abstention","t","","t","t","2","60-69","f","superieur","retraite"
"Voter 34394","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","50-59","f","superieur","liberal"
"Voter 34395","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","f","t","","2","Jean-Luc Mélenchon","f","f","","abstention","","","","","","30-39","h","superieur","public"
"Voter 34396","(NP)","1","(NP)","(NP)","1","2","(NP)","(NP)","","","-1","Jean-Luc Mélenchon","t","t","Je soutenais également Philippe Poutou.","2","Jean-Luc Mélenchon","f","f","","blanc","t","f","t","t","1","18-29","f","superieur","etudiant"
"Voter 34397","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","etudiant"
"Voter 34398","(NP)","(NP)","","","(NP)","","(NP)","(NP)","","","","Emmanuel Macron","t","f","","1","Emmanuel Macron","f","f","","Marine Le Pen","","","","","","18-29","f","superieur","etudiant"
"Voter 34399","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Marine Le Pen","","","","","","18-29","f","superieur","etudiant"
"Voter 34400","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","","","","","","30-39","h","superieur","prive"
"Voter 34401","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","","Jean-Luc Mélenchon","t","t","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","f","superieur","prive"
"Voter 34402","1","(NP)","(NP)","1","(NP)","(NP)","1","(NP)","","","-2","ne se prononce pas","t","f","","1","ne se prononce pas","f","f","","ne se prononce pas","t","t","t","t","3","18-29","h","superieur","etudiant"
"Voter 34403","1","(NP)","(NP)","(NP)","1","(NP)","(NP)","1","","","-2","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","t","t","t","f","0","18-29","f","superieur","etudiant"
"Voter 34404","1","(NP)","(NP)","0","(NP)","(NP)","1","(NP)","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","t","","Emmanuel Macron","t","t","t","t","3","30-39","h","superieur","prive"
"Voter 34405","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","superieur","prive"
"Voter 34406","(NP)","1","(NP)","(NP)","1","(NP)","(NP)","2","","","-1","Benoît Hamon","t","f","","1","Benoît Hamon","f","f","","Emmanuel Macron","t","t","t","t","3","18-29","h","superieur","public"
"Voter 34407","(NP)","(NP)","","","(NP)","(NP)","","(NP)","","","","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","","","","","","","h","superieur","liberal"
"Voter 34408","(NP)","","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","18-29","h","superieur","prive"
"Voter 34409","(NP)","","(NP)","(NP)","","","(NP)","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","","blanc","","","","","","30-39","f","superieur","public"
"Voter 34410","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","1","Jean-Luc Mélenchon","f","f","","Emmanuel Macron","","","","","","18-29","h","secondaire","etudiant"
"Voter 34411","","(NP)","(NP)","(NP)","","(NP)","","(NP)","","","","Jean-Luc Mélenchon","t","f","","2","Jean-Luc Mélenchon","f","f","Je suis pleinement satisfaite de mon vote.","blanc","","","","","","18-29","f","superieur","prive"
"Voter 34412","","(NP)","","(NP)","(NP)","","(NP)","(NP)","","","","Nicolas Dupont-Aignan","t","f","","2","Nicolas Dupont-Aignan","f","f","","blanc","","","","","","30-39","h","superieur","prive"
"Voter 34413","1","(NP)","(NP)","2","(NP)","(NP)","1","(NP)","","","1","Emmanuel Macron","t","f","","2","Emmanuel Macron","f","f","","Emmanuel Macron","t","t","t","t","6","18-29","f","superieur","etudiant"
