################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Borda 4.
# Format: CSV with header
#
# Participants were asked to rank exactly 4 candidates. Meaning of the scores:
# 11 = first / 10 = second / 9 = third / 8 = fourth / nothing = not ranked
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 17429,8,,,,,11,,,,10,9,Benoît Hamon
Voter 14193,,,,9,11,,,8,10,,,François Fillon
Voter 5456,,,,,,11,10,,9,,8,Benoît Hamon
Voter 29110,9,,,,,8,,,,11,10,Jean-Luc Mélenchon
Voter 29025,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 11376,,,,,,10,,,9,11,8,Jean-Luc Mélenchon
Voter 14332,,,,,8,11,,,10,9,,Benoît Hamon
Voter 14626,,10,8,,,9,,,,11,,Jean-Luc Mélenchon
Voter 1616,8,,,,,11,,,9,10,,Benoît Hamon
Voter 4026,9,,,,,10,8,,,11,,Jean-Luc Mélenchon
Voter 28973,,,,,,10,,,8,11,9,Jean-Luc Mélenchon
Voter 3717,,,,,8,10,,,11,9,,Emmanuel Macron
Voter 2575,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 17067,,,8,9,10,,,,11,,,Emmanuel Macron
Voter 30770,9,,,,,10,,,,11,8,Jean-Luc Mélenchon
Voter 29739,,,,,,10,,,8,11,9,Jean-Luc Mélenchon
Voter 9160,,,,,,11,,,9,10,8,Benoît Hamon
Voter 9041,9,,,,,8,,,,11,10,Jean-Luc Mélenchon
Voter 11545,,,,,10,8,,,9,11,,Jean-Luc Mélenchon
Voter 28686,,,,,,10,,,8,11,9,Jean-Luc Mélenchon
Voter 13835,,,,,11,10,,8,9,,,François Fillon
Voter 21373,,,,,10,9,,,11,,8,Emmanuel Macron
Voter 26898,,,,,,10,9,,,11,8,Jean-Luc Mélenchon
Voter 10900,,10,,,,,,,11,8,9,Emmanuel Macron
Voter 27651,,,,,,11,,,9,10,8,Benoît Hamon
Voter 1674,9,,,,,,,,10,11,8,Emmanuel Macron
Voter 26829,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 24026,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 30456,,,,,10,8,11,9,,,,François Fillon
Voter 9232,,,,,,11,,,9,10,8,Benoît Hamon
Voter 28796,,10,,8,,,,,11,9,,Emmanuel Macron
Voter 6277,,,,,,,11,,9,10,8,Jean Lassalle
Voter 12262,,9,,,,10,,,8,11,,Jean-Luc Mélenchon
Voter 6631,,9,,10,,,8,11,,,,Marine Le Pen
Voter 13557,,9,,,,,8,,11,10,,Emmanuel Macron
Voter 29993,,,9,,,10,,,,11,8,Jean-Luc Mélenchon
Voter 18544,8,,,,,9,,,,10,11,Jean-Luc Mélenchon
Voter 32022,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 15450,,,,,,11,,,9,10,8,incertitude
Voter 13158,,,,,,10,,,11,8,9,Emmanuel Macron
Voter 16685,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 26381,,9,,8,,,,,10,11,,Jean-Luc Mélenchon
Voter 14574,,10,,,,,,8,,11,9,Jean-Luc Mélenchon
Voter 17488,,,,,,11,8,,9,10,,Jean-Luc Mélenchon
Voter 17591,,,,8,11,9,,,10,,,François Fillon
Voter 4477,9,,,,,10,,,,11,8,Jean-Luc Mélenchon
Voter 18407,,,,,,11,10,,,8,9,Benoît Hamon
Voter 8593,,,,9,10,8,,,11,,,Emmanuel Macron
Voter 2612,8,,,,,10,,,9,11,,Jean-Luc Mélenchon
Voter 8604,,,,,,11,,,9,10,8,Benoît Hamon
Voter 21732,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 26515,,,8,,,10,,,11,9,,Emmanuel Macron
Voter 22734,,,,,,10,,,8,11,9,ne se prononce pas
Voter 9416,8,,,,,10,,,,11,9,abstention
Voter 4617,,,,,,11,8,,10,9,,Benoît Hamon
Voter 18393,,,,,8,10,,,9,11,,Jean-Luc Mélenchon
Voter 22377,,,10,,,9,8,,,11,,Jacques Cheminade
Voter 10484,,,,9,,,,8,,11,10,Philippe Poutou
Voter 8079,9,,8,,,11,,,,10,,Benoît Hamon
Voter 842,9,,,,,11,,,,10,8,Benoît Hamon
Voter 5837,10,,,,,8,,,,9,11,incertitude
Voter 12412,,,8,,,11,,,,10,9,Benoît Hamon
Voter 1372,8,,,,,10,,,,11,9,Jean-Luc Mélenchon
Voter 23713,,,8,,11,,,,10,9,,François Fillon
Voter 1953,,,,,,10,,,9,11,8,Jean-Luc Mélenchon
Voter 23939,,,,,,10,,,9,11,8,Jean-Luc Mélenchon
Voter 245,8,,,,,11,,,9,10,,Benoît Hamon
Voter 13301,,,,,,9,,,10,11,8,incertitude
Voter 20470,,,,,9,10,,,11,8,,Emmanuel Macron
Voter 12345,,,,,10,9,,,11,8,,Emmanuel Macron
Voter 2826,,,,,,11,,,9,10,8,Benoît Hamon
Voter 14048,9,,,,,8,,,,10,11,Jean-Luc Mélenchon
