################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting -1/0/1.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (-1,0,1).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 12087,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,Philippe Poutou
Voter 28897,0,-1,0,-1,-1,1,0,-1,0,1,0,Benoît Hamon
Voter 20607,0,-1,-1,-1,-1,0,-1,-1,0,1,0,Jean-Luc Mélenchon
Voter 1552,0,0,0,0,1,1,0,-1,1,0,0,Emmanuel Macron
Voter 605,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,abstention
Voter 10027,1,-1,0,-1,-1,1,-1,-1,0,1,1,Jean-Luc Mélenchon
Voter 15633,0,0,0,-1,-1,1,0,-1,0,1,1,Benoît Hamon
Voter 8123,0,0,0,0,-1,1,1,-1,0,1,1,Jean-Luc Mélenchon
Voter 22151,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,François Fillon
Voter 24384,1,0,0,-1,-1,1,-1,-1,1,1,0,Jean-Luc Mélenchon
Voter 15743,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,Jean-Luc Mélenchon
Voter 24534,-1,-1,0,-1,-1,1,-1,-1,-1,1,0,Jean-Luc Mélenchon
Voter 30508,0,0,0,0,-1,1,0,-1,-1,1,0,Jean-Luc Mélenchon
Voter 5122,0,-1,-1,-1,-1,1,-1,-1,0,0,0,Benoît Hamon
Voter 19191,1,-1,-1,-1,-1,1,0,-1,-1,1,1,Jean-Luc Mélenchon
Voter 7337,,,,,,,,1,1,1,,Marine Le Pen
Voter 8660,0,-1,0,-1,0,1,-1,-1,1,0,0,Emmanuel Macron
Voter 7120,-1,-1,-1,-1,-1,1,0,-1,1,0,0,incertitude
Voter 304,0,-1,0,-1,-1,0,-1,-1,1,0,0,Emmanuel Macron
Voter 16106,0,-1,-1,-1,-1,1,0,-1,1,1,0,incertitude
Voter 1380,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,Emmanuel Macron
Voter 21132,-1,-1,-1,0,1,,-1,-1,1,-1,-1,Emmanuel Macron
Voter 31029,-1,0,-1,0,-1,0,0,-1,1,1,0,Emmanuel Macron
Voter 7265,,,,,,,,,1,,,Emmanuel Macron
Voter 3311,0,-1,-1,-1,-1,1,0,-1,1,1,0,Jean-Luc Mélenchon
Voter 20528,0,-1,0,-1,-1,0,-1,-1,-1,1,1,Jean-Luc Mélenchon
Voter 21068,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,François Fillon
Voter 1849,-1,0,-1,0,0,1,0,-1,-1,1,0,incertitude
Voter 12258,-1,0,1,-1,-1,1,-1,-1,1,-1,-1,Jacques Cheminade
Voter 33583,1,,,,,1,,,,1,1,Jean-Luc Mélenchon
Voter 10602,0,-1,-1,-1,-1,1,-1,-1,0,1,0,Benoît Hamon
Voter 788,0,-1,0,-1,-1,1,0,-1,1,0,0,Emmanuel Macron
Voter 29182,-1,-1,-1,-1,0,0,-1,-1,1,0,-1,Emmanuel Macron
Voter 20194,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,François Fillon
Voter 13116,1,,1,,,1,,,,1,,Jean-Luc Mélenchon
Voter 21549,0,-1,0,-1,-1,1,-1,-1,1,1,1,Benoît Hamon
Voter 5831,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,Jean-Luc Mélenchon
Voter 14988,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,François Fillon
Voter 27342,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,abstention
Voter 12846,-1,-1,-1,-1,-1,0,0,-1,1,1,-1,Emmanuel Macron
Voter 12914,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,Emmanuel Macron
Voter 7926,0,1,0,0,0,0,0,0,0,0,0,François Asselineau
Voter 11993,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,Benoît Hamon
Voter 12035,0,-1,0,-1,-1,1,-1,-1,-1,1,1,Jean-Luc Mélenchon
Voter 10172,1,-1,-1,-1,-1,0,0,-1,1,1,0,Emmanuel Macron
Voter 17058,-1,0,-1,0,1,0,0,-1,1,-1,-1,François Fillon
Voter 13944,1,-1,1,0,-1,0,1,-1,0,1,1,Philippe Poutou
Voter 20483,,0,0,0,1,0,,,1,,,François Fillon
Voter 9298,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,Benoît Hamon
Voter 9952,-1,-1,-1,-1,0,0,-1,-1,1,0,-1,Emmanuel Macron
Voter 31838,1,1,0,0,-1,1,0,-1,-1,1,1,Jean-Luc Mélenchon
