################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Questionnaire.
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants before the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what do you plan to do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: vote is a right (t = yes / f = no)
# * Column 15: vote is a duty (t = yes / f = no)
# * Column 16: vote is a chance (t = yes / f = no)
# * Column 17: vote is useful (t = yes / f = no)
# * Column 18: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 19: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 20: gender (h = male / f = female)
# * Column 21: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 22: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
Voter,Appreciation Approval,Appreciation Evaluation 0/1/2,Appreciation Evaluation 0/1/2/3,Appreciation Evaluation -1/0/1/2,Appreciation Evaluation -1/0/1,Appreciation Borda 4,Appreciation STV 4-11,Appreciation STV 1-11,Appreciation Evaluation Continuous,Appreciation Condorcet,Appreciation two round majority,official vote,vote is a right,vote is a duty,vote is a chance,vote is useful,left right,age,gender,studies,socioprofessional
Voter 14566,1,(NP),(NP),(NP),1,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,f,2,40-49,f,superieur,prive
Voter 14567,(NP),(NP),0,1,(NP),(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,h,superieur,etudiant
Voter 14568,(NP),(NP),1,1,(NP),(NP),(NP),-1,,,0,Benoît Hamon,t,f,t,t,8,30-39,h,superieur,prive
Voter 14569,2,(NP),(NP),0,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,0,30-39,h,superieur,nspp
Voter 14570,1,(NP),(NP),(NP),1,1,(NP),(NP),,,1,Benoît Hamon,t,t,t,t,2,30-39,f,superieur,public
Voter 14571,1,(NP),(NP),(NP),0,1,(NP),(NP),,,-2,blanc,t,t,t,t,4,60-69,f,superieur,retraite
Voter 14572,(NP),(NP),0,0,(NP),2,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,liberal
Voter 14573,(NP),(NP),0,0,(NP),(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,f,t,f,1,40-49,f,superieur,autre
Voter 14574,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,f,t,1,30-39,h,superieur,prive
Voter 14575,2,(NP),2,(NP),(NP),(NP),(NP),-2,,,0,Emmanuel Macron,t,t,t,t,2,18-29,f,superieur,etudiant
Voter 14576,(NP),(NP),1,1,(NP),(NP),-1,(NP),,,1,Benoît Hamon,t,f,t,t,3,18-29,f,superieur,public
Voter 14577,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,,,,,0,50-59,h,superieur,public
Voter 14578,1,(NP),1,(NP),(NP),2,(NP),(NP),,,0,François Asselineau,t,f,t,t,,40-49,h,superieur,autre
Voter 14579,1,(NP),(NP),(NP),1,2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,0,18-29,f,superieur,liberal
Voter 14580,(NP),0,(NP),(NP),1,(NP),(NP),2,,,-1,Emmanuel Macron,t,f,t,t,5,50-59,h,superieur,public
Voter 14581,(NP),(NP),0,0,(NP),(NP),0,(NP),,,1,non inscrit,t,t,t,t,5,40-49,h,superieur,public
Voter 14582,2,(NP),(NP),1,(NP),(NP),-1,(NP),,,1,Emmanuel Macron,t,t,t,t,5,30-39,h,superieur,nspp
Voter 14583,(NP),(NP),1,1,(NP),(NP),1,(NP),,,0,Emmanuel Macron,t,t,t,t,5,18-29,f,superieur,prive
Voter 14584,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,1,François Fillon,t,,,,8,18-29,h,superieur,public
Voter 14585,(NP),1,(NP),(NP),1,(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,public
Voter 14586,1,(NP),1,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,etudiant
Voter 14587,2,(NP),(NP),2,(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,2,30-39,h,superieur,public
Voter 14588,1,(NP),(NP),(NP),-2,(NP),2,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,4,18-29,f,superieur,liberal
Voter 14589,1,(NP),(NP),2,(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,etudiant
Voter 14590,(NP),0,(NP),(NP),0,(NP),(NP),1,,,-1,François Asselineau,t,f,t,f,4,40-49,h,superieur,liberal
Voter 14591,0,(NP),(NP),0,(NP),(NP),(NP),0,,,-2,Benoît Hamon,t,t,t,f,3,30-39,h,superieur,prive
Voter 14592,,(NP),,(NP),(NP),,(NP),(NP),,,,incertitude,,,,,,,,,
Voter 14593,(NP),-1,(NP),(NP),-1,0,(NP),(NP),,,-2,Emmanuel Macron,t,f,t,t,4,18-29,h,superieur,public
Voter 14594,(NP),(NP),1,1,(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,public
Voter 14595,1,(NP),(NP),0,(NP),(NP),(NP),1,,,0,François Fillon,t,f,t,t,7,30-39,h,superieur,prive
Voter 14596,(NP),1,(NP),(NP),-1,(NP),0,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,,2,50-59,h,superieur,public
Voter 14597,1,(NP),1,(NP),(NP),(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,public
Voter 14598,(NP),1,(NP),(NP),2,(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,t,t,t,1,18-29,f,superieur,prive
Voter 14599,(NP),(NP),2,2,(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,2,30-39,h,superieur,public
Voter 14600,(NP),(NP),1,0,(NP),(NP),1,(NP),,,1,François Fillon,t,t,t,t,6,30-39,f,superieur,liberal
Voter 14601,0,(NP),(NP),1,(NP),1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,4,50-59,f,superieur,public
Voter 14602,0,(NP),1,(NP),(NP),(NP),0,(NP),,,-1,François Fillon,t,t,,,8,+70,h,superieur,retraite
Voter 14603,2,(NP),(NP),(NP),-1,(NP),1,(NP),,,-2,Emmanuel Macron,t,t,t,t,2,30-39,f,superieur,prive
Voter 14604,1,(NP),2,(NP),(NP),(NP),-1,(NP),,,0,Benoît Hamon,t,t,t,t,7,50-59,,,prive
Voter 14605,-2,(NP),(NP),(NP),0,(NP),(NP),1,,,-1,incertitude,t,t,t,f,5,18-29,f,superieur,etudiant
Voter 14606,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,,,t,0,18-29,f,superieur,etudiant
Voter 14607,1,(NP),(NP),2,(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,f,t,5,30-39,f,superieur,liberal
Voter 14608,-2,(NP),(NP),-2,(NP),(NP),-2,(NP),,,-2,abstention,t,f,,,2,18-29,h,superieur,etudiant
Voter 14609,-1,(NP),(NP),(NP),1,-1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,,1,18-29,h,superieur,autre
Voter 14610,(NP),0,(NP),(NP),0,(NP),0,(NP),,,0,Benoît Hamon,t,t,f,t,4,30-39,f,superieur,prive
Voter 14611,0,(NP),1,(NP),(NP),(NP),(NP),1,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,superieur,public
Voter 14612,(NP),1,(NP),(NP),0,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,,t,0,18-29,h,superieur,etudiant
Voter 14613,(NP),(NP),-1,-1,(NP),(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,nspp,etudiant
Voter 14614,0,(NP),(NP),0,(NP),(NP),0,(NP),,,-1,Marine Le Pen,,,,t,10,50-59,h,secondaire,prive
Voter 14615,1,(NP),1,(NP),(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,40-49,h,superieur,prive
Voter 14616,1,(NP),(NP),(NP),0,(NP),(NP),-1,,,2,Emmanuel Macron,t,t,t,t,4,18-29,h,superieur,etudiant
Voter 14617,2,(NP),(NP),(NP),2,2,(NP),(NP),,,-2,Benoît Hamon,t,t,t,t,4,50-59,h,superieur,prive
Voter 14618,1,(NP),(NP),(NP),0,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,prive
Voter 14619,1,(NP),-1,(NP),(NP),(NP),1,(NP),,,-2,Emmanuel Macron,t,f,t,t,6,30-39,h,superieur,prive
Voter 14620,-2,(NP),(NP),(NP),0,1,(NP),(NP),,,-2,Emmanuel Macron,t,t,t,t,3,18-29,f,superieur,public
Voter 14621,1,(NP),(NP),1,(NP),2,(NP),(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,public
Voter 14622,(NP),(NP),0,-1,(NP),(NP),(NP),0,,,1,Benoît Hamon,t,t,t,,2,40-49,h,superieur,public
Voter 14623,(NP),,(NP),(NP),,(NP),,(NP),,,,Jean-Luc Mélenchon,t,t,t,,1,50-59,f,superieur,autre
Voter 14624,0,(NP),(NP),0,(NP),(NP),0,(NP),,,2,Emmanuel Macron,t,f,t,t,4,30-39,h,superieur,prive
Voter 14625,(NP),(NP),0,0,(NP),(NP),-1,(NP),,,-2,Emmanuel Macron,t,t,t,t,4,60-69,h,superieur,prive
Voter 14626,(NP),1,(NP),(NP),,1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,h,superieur,nspp
Voter 14627,2,(NP),2,(NP),(NP),(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,2,60-69,h,superieur,liberal
Voter 14628,0,(NP),1,(NP),(NP),1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,40-49,h,superieur,public
Voter 14629,2,(NP),1,(NP),(NP),(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,40-49,f,superieur,public
Voter 14630,(NP),(NP),1,2,(NP),(NP),(NP),0,,,-1,Emmanuel Macron,t,t,t,t,2,30-39,h,superieur,prive
Voter 14631,(NP),(NP),1,1,(NP),(NP),(NP),2,,,-2,Benoît Hamon,t,t,t,f,0,30-39,f,superieur,public
Voter 14632,1,(NP),-2,(NP),(NP),(NP),(NP),-1,,,-1,Marine Le Pen,t,t,t,t,8,18-29,f,superieur,etudiant
Voter 14633,1,(NP),-1,(NP),(NP),(NP),(NP),1,,,1,Emmanuel Macron,t,t,f,t,4,18-29,h,superieur,prive
Voter 14634,1,(NP),1,(NP),(NP),(NP),-2,(NP),,,1,Emmanuel Macron,,t,t,t,5,60-69,f,secondaire,retraite
Voter 14635,1,(NP),(NP),-1,(NP),(NP),(NP),-1,,,,Jean-Luc Mélenchon,t,t,t,t,3,30-39,f,superieur,prive
Voter 14636,0,(NP),(NP),(NP),0,(NP),(NP),0,,,0,Nicolas Dupont-Aignan,t,t,,,5,60-69,h,superieur,autre
Voter 14637,1,(NP),(NP),(NP),1,(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,1,30-39,f,superieur,public
Voter 14638,1,(NP),(NP),(NP),-1,0,(NP),(NP),,,1,Benoît Hamon,t,t,,,1,+70,h,superieur,retraite
Voter 14639,1,(NP),2,(NP),(NP),1,(NP),(NP),,,-1,François Asselineau,t,t,t,t,5,30-39,h,superieur,liberal
Voter 14640,1,(NP),(NP),(NP),-1,(NP),(NP),-1,,,-2,Benoît Hamon,t,t,t,t,2,+70,f,superieur,liberal
Voter 14641,(NP),-1,(NP),(NP),-1,(NP),1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,1,40-49,h,superieur,prive
Voter 14642,(NP),1,(NP),(NP),1,2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,2,30-39,h,superieur,prive
Voter 14643,(NP),(NP),1,2,(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,40-49,h,superieur,public
Voter 14644,(NP),(NP),1,2,(NP),-1,(NP),(NP),,,0,Benoît Hamon,t,t,t,t,1,40-49,h,superieur,public
Voter 14645,0,(NP),(NP),1,(NP),(NP),1,(NP),,,-1,incertitude,t,t,t,f,8,50-59,h,superieur,prive
Voter 14646,(NP),1,(NP),(NP),1,2,(NP),(NP),,,-1,incertitude,t,t,t,t,5,50-59,h,secondaire,public
Voter 14647,2,(NP),(NP),(NP),2,0,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,prive
Voter 14648,,(NP),(NP),(NP),,,(NP),(NP),,,1,ne se prononce pas,t,t,t,t,,,,,
Voter 14649,1,(NP),(NP),(NP),1,(NP),(NP),1,,,1,Emmanuel Macron,t,t,t,t,5,50-59,h,superieur,prive
Voter 14650,(NP),(NP),1,-1,(NP),(NP),(NP),-1,,,1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,prive
Voter 14651,1,(NP),-1,(NP),(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,f,t,t,3,18-29,h,superieur,public
Voter 14652,0,(NP),(NP),1,(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,t,,2,60-69,f,superieur,retraite
Voter 14653,(NP),0,(NP),(NP),0,(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,liberal
Voter 14654,(NP),(NP),1,1,(NP),1,(NP),(NP),,,-1,Nicolas Dupont-Aignan,t,t,t,t,7,18-29,f,superieur,etudiant
Voter 14655,1,(NP),(NP),0,(NP),(NP),(NP),1,,,,incertitude,t,t,,,8,40-49,f,superieur,prive
Voter 14656,-1,(NP),(NP),(NP),1,(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,,t,2,50-59,h,superieur,liberal
Voter 14657,(NP),(NP),2,2,(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,0,40-49,f,superieur,public
Voter 14658,(NP),-1,(NP),(NP),-1,(NP),-1,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,40-49,h,superieur,liberal
Voter 14659,1,(NP),(NP),-2,(NP),(NP),(NP),1,,,-1,incertitude,t,t,t,,2,40-49,h,superieur,public
Voter 14660,(NP),(NP),1,0,(NP),(NP),(NP),0,,,1,Benoît Hamon,t,t,t,t,2,40-49,f,superieur,public
Voter 14661,1,(NP),(NP),1,(NP),(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,prive
Voter 14662,(NP),-1,(NP),(NP),2,(NP),1,(NP),,,0,Jean-Luc Mélenchon,t,t,t,f,1,+70,h,superieur,retraite
Voter 14663,1,(NP),1,(NP),(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,prive
Voter 14664,1,(NP),1,(NP),(NP),(NP),-1,(NP),,,1,Jean-Luc Mélenchon,t,t,t,t,0,50-59,f,superieur,prive
Voter 14665,(NP),(NP),,0,(NP),(NP),0,(NP),,,-2,Jean-Luc Mélenchon,t,f,f,f,0,18-29,f,superieur,public
Voter 14666,1,(NP),1,(NP),(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,2,50-59,h,superieur,public
Voter 14667,-1,(NP),-1,(NP),(NP),(NP),-1,(NP),,,-2,Benoît Hamon,t,t,t,t,0,40-49,f,superieur,nspp
Voter 14668,(NP),(NP),0,1,(NP),2,(NP),(NP),,,-2,Nicolas Dupont-Aignan,t,f,t,t,6,50-59,nspp,superieur,retraite
Voter 14669,(NP),1,(NP),(NP),1,(NP),(NP),-1,,,-1,Benoît Hamon,t,t,t,t,2,30-39,h,superieur,public
Voter 14670,-1,(NP),(NP),2,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,,4,30-39,f,superieur,public
Voter 14671,(NP),(NP),1,1,(NP),(NP),0,(NP),,,-1,Benoît Hamon,t,t,t,t,1,18-29,f,superieur,prive
Voter 14672,1,(NP),(NP),1,(NP),1,(NP),(NP),,,1,abstention,f,f,,,5,18-29,h,superieur,etudiant
Voter 14673,0,(NP),(NP),(NP),1,(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,f,t,t,3,40-49,h,superieur,liberal
Voter 14674,,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,0,60-69,f,superieur,liberal
Voter 14675,0,(NP),2,(NP),(NP),(NP),(NP),0,,,-2,Jean-Luc Mélenchon,t,t,t,f,0,40-49,f,superieur,liberal
Voter 14676,1,(NP),2,(NP),(NP),1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,2,60-69,h,superieur,public
Voter 14677,(NP),1,(NP),(NP),1,(NP),(NP),-1,,,1,Emmanuel Macron,t,t,,,5,60-69,f,nspp,prive
Voter 14678,-1,(NP),1,(NP),(NP),(NP),(NP),0,,,-2,Jean-Luc Mélenchon,t,f,f,f,3,40-49,h,superieur,prive
Voter 14679,(NP),0,(NP),(NP),-1,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,f,0,18-29,h,superieur,etudiant
Voter 14680,(NP),(NP),1,1,(NP),(NP),(NP),-1,,,-2,Jean-Luc Mélenchon,t,f,t,t,2,18-29,h,superieur,public
Voter 14681,(NP),1,(NP),(NP),2,(NP),(NP),0,,,,Jean-Luc Mélenchon,t,t,t,t,0,30-39,f,superieur,public
Voter 14682,1,(NP),(NP),(NP),1,2,(NP),(NP),,,-2,Philippe Poutou,t,f,f,f,0,30-39,h,superieur,public
Voter 14683,(NP),(NP),1,1,(NP),(NP),(NP),,,,1,Jean-Luc Mélenchon,t,t,t,t,0,30-39,h,superieur,public
Voter 14684,1,(NP),(NP),(NP),1,(NP),(NP),-1,,,-1,François Fillon,f,t,f,f,8,30-39,h,superieur,prive
Voter 14685,1,(NP),(NP),(NP),1,(NP),1,(NP),,,2,Emmanuel Macron,t,t,t,t,3,18-29,f,superieur,prive
Voter 14686,1,(NP),(NP),-1,(NP),(NP),0,(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,0,40-49,f,superieur,liberal
Voter 14687,(NP),-1,(NP),(NP),-1,(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,f,t,t,1,30-39,h,superieur,autre
Voter 14688,0,(NP),0,(NP),(NP),(NP),0,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,2,40-49,h,superieur,prive
Voter 14689,1,(NP),-1,(NP),(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,f,superieur,liberal
Voter 14690,-2,(NP),1,(NP),(NP),2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,f,superieur,prive
Voter 14691,(NP),0,(NP),(NP),0,(NP),(NP),0,,,1,Jean-Luc Mélenchon,t,t,t,t,0,18-29,h,superieur,etudiant
Voter 14692,(NP),1,(NP),(NP),1,(NP),(NP),1,,,-2,non inscrit,t,f,f,f,10,18-29,f,secondaire,prive
Voter 14693,-2,(NP),(NP),(NP),1,(NP),2,(NP),,,-2,blanc,t,f,t,t,2,18-29,h,nspp,autre
Voter 14694,(NP),(NP),1,1,(NP),2,(NP),(NP),,,-1,Emmanuel Macron,t,t,t,t,0,50-59,f,superieur,public
Voter 14695,(NP),(NP),,0,(NP),0,(NP),(NP),,,1,Emmanuel Macron,t,t,,t,3,60-69,,superieur,retraite
Voter 14696,(NP),(NP),1,0,(NP),(NP),2,(NP),,,-2,Emmanuel Macron,t,t,t,f,3,40-49,f,superieur,prive
Voter 14697,0,(NP),(NP),(NP),0,(NP),0,(NP),,,-1,incertitude,t,t,t,t,5,30-39,h,superieur,public
Voter 14698,(NP),0,(NP),(NP),-1,1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,6,18-29,h,superieur,public
Voter 14699,0,(NP),(NP),(NP),0,0,(NP),(NP),,,2,Jean-Luc Mélenchon,t,t,t,t,3,40-49,f,superieur,public
Voter 14700,1,(NP),(NP),(NP),0,(NP),-1,(NP),,,-1,Jean-Luc Mélenchon,t,f,,,5,18-29,h,superieur,liberal
Voter 14701,(NP),(NP),1,0,(NP),(NP),(NP),-1,,,1,blanc,t,t,t,t,5,18-29,f,superieur,etudiant
Voter 14702,(NP),(NP),1,1,(NP),-1,(NP),(NP),,,0,incertitude,t,t,t,f,,18-29,f,superieur,autre
Voter 14703,2,(NP),(NP),(NP),2,(NP),(NP),1,,,-1,Emmanuel Macron,t,f,t,t,5,18-29,h,superieur,etudiant
Voter 14704,-1,(NP),(NP),0,(NP),-2,(NP),(NP),,,-2,Emmanuel Macron,,,t,,7,30-39,h,superieur,prive
Voter 14705,(NP),(NP),1,0,(NP),2,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,3,18-29,f,superieur,etudiant
Voter 14706,-1,(NP),(NP),(NP),-1,(NP),-1,(NP),,,1,incertitude,t,t,t,t,1,18-29,f,secondaire,etudiant
Voter 14707,1,(NP),2,(NP),(NP),(NP),(NP),0,,,-1,Emmanuel Macron,t,t,t,t,3,50-59,h,superieur,prive
Voter 14708,,(NP),(NP),(NP),,(NP),,(NP),,,,Jean-Luc Mélenchon,t,t,t,t,1,30-39,h,superieur,public
Voter 14709,(NP),2,(NP),(NP),1,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,f,f,t,1,18-29,h,superieur,public
Voter 14710,(NP),(NP),-1,-1,(NP),(NP),(NP),1,,,1,Jean-Luc Mélenchon,t,t,t,t,6,18-29,f,superieur,prive
Voter 14711,(NP),(NP),0,2,(NP),(NP),(NP),0,,,-2,François Fillon,t,t,t,f,5,40-49,f,superieur,prive
Voter 14712,1,(NP),(NP),(NP),1,(NP),-2,(NP),,,-1,Emmanuel Macron,,t,t,,2,60-69,nspp,superieur,retraite
Voter 14713,2,(NP),(NP),(NP),1,(NP),-1,(NP),,,-1,Benoît Hamon,t,t,t,t,4,18-29,h,superieur,chomage
Voter 14714,(NP),(NP),0,0,(NP),1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,,t,,2,40-49,f,superieur,public
Voter 14715,(NP),(NP),1,2,(NP),(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,5,30-39,h,superieur,prive
Voter 14716,(NP),(NP),1,1,(NP),(NP),-1,(NP),,,-2,incertitude,t,t,t,t,1,18-29,f,superieur,prive
Voter 14717,2,(NP),1,(NP),(NP),(NP),(NP),2,,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,prive
Voter 14718,1,(NP),(NP),(NP),1,(NP),1,(NP),,,1,Benoît Hamon,t,t,t,t,0,40-49,f,superieur,public
Voter 14719,2,(NP),(NP),-2,(NP),(NP),1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,1,40-49,f,superieur,public
Voter 14720,1,(NP),(NP),-2,(NP),(NP),(NP),-1,,,-1,Jean-Luc Mélenchon,t,t,f,f,2,18-29,f,superieur,liberal
Voter 14721,1,(NP),(NP),2,(NP),(NP),-1,(NP),,,-2,Benoît Hamon,t,f,t,t,2,40-49,h,superieur,public
Voter 14722,0,(NP),(NP),2,(NP),(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,3,40-49,h,superieur,liberal
Voter 14723,1,(NP),(NP),(NP),0,(NP),2,(NP),,,-1,Emmanuel Macron,,t,,,3,30-39,h,superieur,prive
Voter 14724,2,(NP),(NP),(NP),1,(NP),2,(NP),,,-2,Jean-Luc Mélenchon,t,t,t,t,3,50-59,h,superieur,prive
Voter 14725,1,(NP),1,(NP),(NP),(NP),-1,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,18-29,f,superieur,prive
Voter 14726,(NP),2,(NP),(NP),1,(NP),1,(NP),,,-1,Benoît Hamon,t,t,t,t,3,40-49,h,superieur,prive
Voter 14727,(NP),1,(NP),(NP),1,(NP),0,(NP),,,-1,incertitude,t,t,t,t,4,50-59,f,superieur,public
Voter 14728,1,(NP),(NP),-1,(NP),(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,,2,18-29,f,superieur,etudiant
Voter 14729,1,(NP),0,(NP),(NP),(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,f,1,40-49,h,superieur,autre
Voter 14730,1,(NP),(NP),1,(NP),1,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,2,30-39,h,superieur,public
Voter 14731,1,(NP),1,(NP),(NP),(NP),(NP),1,,,-1,incertitude,t,t,f,f,3,30-39,f,superieur,chomage
Voter 14732,(NP),(NP),1,2,(NP),(NP),(NP),1,,,0,Benoît Hamon,t,f,t,t,8,18-29,f,superieur,liberal
Voter 14733,(NP),1,(NP),(NP),1,2,(NP),(NP),,,-1,Jean-Luc Mélenchon,t,t,t,t,3,18-29,h,superieur,public
Voter 14734,(NP),1,(NP),(NP),1,(NP),2,(NP),,,-2,incertitude,t,f,t,f,5,40-49,f,superieur,public
Voter 14735,2,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Emmanuel Macron,t,t,t,t,3,30-39,f,superieur,prive
Voter 14736,2,(NP),1,(NP),(NP),2,(NP),(NP),,,0,Jean-Luc Mélenchon,t,t,t,t,2,18-29,h,superieur,etudiant
Voter 14737,0,(NP),(NP),(NP),1,1,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,t,t,f,0,30-39,f,superieur,public
Voter 14738,0,(NP),(NP),(NP),,-1,(NP),(NP),,,,Jean-Luc Mélenchon,,,,t,0,60-69,f,secondaire,retraite
Voter 14739,2,(NP),(NP),(NP),1,(NP),(NP),2,,,-1,incertitude,t,,t,,0,60-69,f,superieur,retraite
Voter 14740,1,(NP),(NP),(NP),-1,(NP),(NP),1,,,0,Jean-Luc Mélenchon,t,t,t,t,2,18-29,f,superieur,etudiant
