################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Evaluation Voting 0/1/2/3.
# Format: CSV with header
#
# Participants were asked to give a score to each candidate, on the scale (0,1,2,3).
# If the score is empty, it means that the voter did not evaluate the candidate (means
# the least score).
#
# * Column 1: Voter number
# * Column 2: score of Nathalie Arthaud
# * Column 3: score of François Asselineau
# * Column 4: score of Jacques Cheminade
# * Column 5: score of Nicolas Dupont-Aignan
# * Column 6: score of François Fillon
# * Column 7: score of Benoît Hamon
# * Column 8: score of Jean Lassalle
# * Column 9: score of Marine Le Pen
# * Column 10: score of Emmanuel Macron
# * Column 11: score of Jean-Luc Mélenchon
# * Column 12: score of Philippe Poutou
# * Column 13: vote at the first round of the official election (extracted from the questionnaire)
#
################################################################################
Voter,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou,official vote
Voter 14993,0,0,0,0,0,3,0,0,3,2,2,Benoît Hamon
Voter 26637,1,,,,,1,,,,3,2,Jean-Luc Mélenchon
Voter 7980,,,,,2,1,,,3,1,,Emmanuel Macron
Voter 12026,2,,,,,,1,,,3,2,Jean-Luc Mélenchon
Voter 1736,0,0,0,0,0,2,1,0,0,3,0,Jean-Luc Mélenchon
Voter 20795,1,0,2,0,1,3,2,0,3,2,1,Emmanuel Macron
Voter 17452,1,2,2,1,0,1,1,0,0,3,1,Jean-Luc Mélenchon
Voter 25877,,,,,,1,,,3,2,,Emmanuel Macron
Voter 30588,1,0,1,0,0,2,0,0,0,3,1,Jean-Luc Mélenchon
Voter 35387,1,2,1,2,0,1,1,3,0,2,1,non inscrit
Voter 26596,0,0,0,0,0,3,0,0,1,2,1,Benoît Hamon
Voter 30123,,,,,,3,,,1,3,1,Benoît Hamon
Voter 8630,,0,,,,3,,,3,,,incertitude
Voter 7422,1,0,1,0,0,3,0,0,1,0,0,Benoît Hamon
Voter 28937,2,,,,,2,,,2,3,,abstention
Voter 17429,2,0,0,0,0,3,0,0,1,2,2,Benoît Hamon
Voter 15893,1,0,0,0,0,0,0,0,0,2,2,Jean-Luc Mélenchon
Voter 4958,2,2,,,,,,,,1,2,Jean-Luc Mélenchon
Voter 29497,0,0,0,0,0,3,0,0,1,3,1,Jean-Luc Mélenchon
Voter 14332,0,0,0,0,0,3,0,0,1,2,0,Benoît Hamon
Voter 6584,1,0,0,0,0,3,0,0,2,2,1,Benoît Hamon
Voter 4899,0,3,1,0,0,0,0,0,0,2,0,François Asselineau
Voter 23130,0,1,1,2,2,0,1,3,0,1,0,Marine Le Pen
Voter 4026,1,1,1,0,0,2,1,0,0,3,1,Jean-Luc Mélenchon
Voter 32368,,,,,0,1,,0,1,2,,Jean-Luc Mélenchon
Voter 10864,1,1,1,0,0,1,1,1,0,3,1,Jean-Luc Mélenchon
Voter 11051,0,0,0,0,2,1,1,1,3,1,0,Emmanuel Macron
Voter 17698,1,0,0,0,0,2,0,0,0,3,2,Jean-Luc Mélenchon
Voter 14923,0,0,0,1,0,2,0,0,1,3,0,Jean-Luc Mélenchon
Voter 29739,0,0,0,0,0,3,0,0,0,3,1,Jean-Luc Mélenchon
Voter 37664,2,0,,0,0,3,0,0,1,3,2,
Voter 2871,1,0,0,0,0,3,1,0,2,2,1,Benoît Hamon
Voter 18176,0,0,0,0,1,3,0,0,2,2,0,incertitude
Voter 30156,2,0,0,0,0,2,0,0,0,3,2,Jean-Luc Mélenchon
Voter 14382,1,0,1,0,1,2,0,0,2,0,1,Emmanuel Macron
Voter 33524,1,1,1,1,0,1,1,0,0,3,1,Jean-Luc Mélenchon
Voter 3020,1,0,0,0,0,1,0,0,0,1,1,abstention
Voter 28686,0,0,0,0,0,3,0,0,1,3,2,Jean-Luc Mélenchon
Voter 24272,2,1,,,,2,1,,1,3,3,Jean-Luc Mélenchon
Voter 25826,2,,0,0,0,1,,,1,3,3,Jean-Luc Mélenchon
Voter 21746,1,,,,,2,,,1,3,1,Jean-Luc Mélenchon
Voter 12932,1,1,1,1,,2,0,,0,3,1,abstention
Voter 26898,0,0,0,0,0,2,1,0,0,3,1,Jean-Luc Mélenchon
Voter 26412,2,0,0,0,0,3,0,0,2,3,3,Jean-Luc Mélenchon
Voter 27651,1,0,0,1,0,3,0,0,0,1,0,Benoît Hamon
Voter 12923,1,0,0,0,0,3,,0,,3,1,Benoît Hamon
Voter 9215,1,2,0,1,0,2,1,0,0,3,1,Jean-Luc Mélenchon
Voter 26829,1,0,0,0,0,3,0,0,0,3,1,Jean-Luc Mélenchon
Voter 7836,1,0,1,0,0,1,1,0,0,3,2,Jean-Luc Mélenchon
Voter 24147,,,,3,,1,,,3,,,Emmanuel Macron
Voter 9232,0,0,0,0,0,3,0,0,1,2,1,Benoît Hamon
Voter 28796,,1,,1,,,,,3,1,,Emmanuel Macron
Voter 21670,2,0,1,0,,1,0,0,0,3,2,Jean-Luc Mélenchon
Voter 10778,1,0,0,0,2,2,0,0,3,3,1,Emmanuel Macron
Voter 12262,0,1,0,0,0,1,0,0,1,3,0,Jean-Luc Mélenchon
Voter 6631,0,2,1,2,0,0,1,3,0,0,0,Marine Le Pen
Voter 6480,2,0,1,0,0,2,1,0,2,3,2,incertitude
Voter 23654,0,0,0,0,0,2,1,0,3,1,2,Emmanuel Macron
Voter 420,,,,,,3,,,1,3,2,incertitude
Voter 32022,1,0,1,1,0,2,0,0,1,3,1,Jean-Luc Mélenchon
Voter 13158,,,,,,3,,,3,,,Emmanuel Macron
Voter 16685,2,1,1,1,0,2,1,0,1,3,2,Jean-Luc Mélenchon
Voter 14574,2,2,1,1,0,1,1,1,0,3,2,Jean-Luc Mélenchon
Voter 16517,1,0,0,0,0,2,1,0,0,3,2,ne se prononce pas
Voter 17488,0,,,,,3,,,1,3,,Jean-Luc Mélenchon
Voter 24691,1,1,1,0,0,3,1,0,1,3,2,Jean-Luc Mélenchon
Voter 4794,0,0,0,0,1,2,0,1,3,3,0,Jean-Luc Mélenchon
Voter 488,,,,,,3,,,,3,0,Benoît Hamon
Voter 8604,1,0,0,0,0,3,1,0,2,3,1,Benoît Hamon
Voter 22734,1,1,1,1,0,3,1,0,1,3,2,ne se prononce pas
Voter 8125,0,2,1,3,3,1,3,1,0,2,1,incertitude
Voter 11058,1,0,0,,0,3,0,0,3,1,1,Emmanuel Macron
Voter 9003,2,0,0,0,0,2,0,0,1,2,2,Benoît Hamon
Voter 26746,,,,,,3,,,,3,,Benoît Hamon
Voter 8079,1,0,1,0,0,3,0,0,0,3,0,Benoît Hamon
Voter 28987,2,2,1,1,0,2,0,0,0,3,2,Jean-Luc Mélenchon
Voter 37464,0,0,0,1,3,1,2,0,3,0,0,
Voter 10438,0,0,0,1,0,1,0,0,1,0,0,Emmanuel Macron
Voter 8961,1,0,0,0,0,2,0,0,1,2,1,Benoît Hamon
Voter 26661,2,,1,,,1,1,,,3,2,Jean-Luc Mélenchon
Voter 5837,3,0,1,0,0,2,0,0,0,2,3,incertitude
Voter 26438,0,0,0,2,0,1,0,0,3,2,1,Emmanuel Macron
Voter 1953,1,,,0,,3,,,1,3,2,Jean-Luc Mélenchon
Voter 245,1,0,0,0,0,3,0,0,2,3,1,Benoît Hamon
Voter 37465,,,,,,3,,,1,2,1,
Voter 30347,,0,,,0,3,0,,3,3,,Jean-Luc Mélenchon
Voter 14696,1,1,1,1,0,3,1,0,3,2,1,Emmanuel Macron
Voter 11162,0,0,0,0,0,3,0,0,1,1,0,Benoît Hamon
Voter 28150,,,,,,3,,,1,3,1,Benoît Hamon
Voter 22349,1,,,,,2,2,,1,3,2,Jean-Luc Mélenchon
